name,type,address,region,sido,sigungu,lat,lng,precision,opened,note,source_url,matched
일산 8 모바일 캠프,캠프,경기 김포시 고촌읍 아라육로230번길 16,경기남부,경기도,김포시,37.598028,126.781208,,,,,경기 김포시 고촌읍 아라육로230번길 16
임동 모바일 캠프,캠프,광주광역시 북구 임동 122-1,광주,전남광주통합특별시,북구,35.165284,126.895334,,,,,전남광주통합특별시 북구 임동 122-1
장록동 모바일 캠프,캠프,광주광역시 광산구 장록동 751-6,광주,전남광주통합특별시,광산구,35.131877,126.771869,,,,,전남광주통합특별시 광산구 장록동 751-6
장성동 모바일 캠프 (광주 1),캠프,전라남도 장성군 남면 삼태리 854-1,전남,전남광주통합특별시,장성군,35.237441,126.828627,,,,,전남광주통합특별시 장성군 남면 삼태리 854-1
장천동 모바일 캠프,캠프,경상남도 창원시 진해구 장천동 782-69 (주차가능),경남,경상남도,창원시진해구,35.133476,128.698617,,,,,경남 창원시 진해구 장천동 782-69
중구 캠프,캠프,서울시 중구 통일로4길 27 (서대문역 도보 3분) (주차 불가),서울,서울특별시,중구,37.564753,126.968463,,,,,서울 중구 통일로4길 27
중동 모바일 캠프,캠프,부산광역시 해운대구 중동 300-1,부산,부산광역시,해운대구,35.169393,129.171674,,,,,부산 해운대구 중동 300-1
중리동 모바일 캠프,캠프,대구광역시 서구 중리동 1165-14,대구,대구광역시,서구,35.860795,128.535962,,,,,대구 서구 중리동 1165-14
진량 모바일 캠프,캠프,경상북도 경산시 진량읍 선화리 170(일연로 621),경북,경상북도,경산시,35.863808,128.803297,,,,,경북 경산시 진량읍 선화리 170
진주 모바일 캠프,캠프,경남 사천시 축동면 탑리 927-1,경남,경상남도,사천시,35.094010,128.059008,,,,,경남 사천시 축동면 탑리 927-1
진천 모바일 캠프,캠프,충북 진천군 초평면 은암리 406-8,충북,충청북도,진천군,36.781261,127.510620,,,,,충북 진천군 초평면 은암리 406-8
창천동 모바일 캠프,캠프,서울특별시 마포구 창전로 71(창전동 141-1),서울,서울특별시,마포구,37.549023,126.932431,,,,,서울 마포구 창전로 71
청천동 모바일 캠프,캠프,인천광역시 부평구 안남로 369번길 18,인천,인천광역시,부평구,37.516317,126.708829,,,,,인천 부평구 안남로369번길 18
초읍 모바일 캠프,캠프,부산광역시 부산진구 성지로 136,부산,부산광역시,부산진구,35.181431,129.049714,,,,,부산 부산진구 성지로 136
초이동 캠프,캠프,경기 하남시 초이동 415-15 (무료 주차 가능),경기남부,경기도,하남시,37.530965,127.167833,,,,,경기 하남시 초이동 415-15
충주 모바일 캠프,캠프,"충북 충주시 중앙탑면 가흥리 287-2, M_충주1캠프",충북,충청북도,충주시,37.070861,127.859864,,,,,충북 충주시 중앙탑면 가흥리 287-2
팔용동 모바일 캠프,캠프,경상남도 창원시 의창구 팔용동 14-6,경남,경상남도,창원시의창구,35.234338,128.638924,,,,,경남 창원시 의창구 팔용동 14-6
